高级后端开发工程师（隐私安全枢纽）-郑州 (MJ000602)`10k-20k`[郑州·管城回族区]`经验不限 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“技术氛围”`JAVA
后端开发工程师-长沙 (MJ000346)`8k-12k`[长沙·伍家岭]`经验不限 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“发展前景广阔，薪资待遇好，公司氛围融洽！”`JAVA
go语言web后端开发工程师`20k-30k`[深圳·南山区]`经验5-10年 / 本科`富途`科技金融 / 上市公司 / 500-2000人`“大平台，上升空间，福利好”`科技金融
高级后端开发工程师-AI`30k-50k`[北京·海淀区]`经验不限 / 本科`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“六险一金,团队氛围好,晋升空间大”`弹性工作
（资深）Java后端开发工程师-财务-飞书企业应用（北京/上海/杭州）`25k-50k`[北京·海淀区]`经验3-5年 / 本科`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“弹性工作,六险一金,扁平管理”`弹性工作
Web后端Go开发工程师`30k-60k`[深圳·南山区]`经验5-10年 / 本科`富途`科技金融 / 上市公司 / 500-2000人`“纳斯达克上市 技术氛围浓”`科技金融
资深后端开发工程师`20k-40k`[广州·越秀区]`经验5-10年 / 本科`龙腾出行`生活服务,旅游｜出行 / 上市公司 / 150-500人`“发展前景广阔、福利待遇好”`JAVA
高级软件开发工程师（后端）`40k-60k`[上海·浦东新区]`经验5-10年 / 本科`上海农商银行`金融业 / 不需要融资 / 500-2000人`“发展前景好，福利待遇好。”`JAVA
软件开发工程师（后端）`20k-30k`[上海·浦东新区]`经验3-5年 / 本科`上海农商银行`金融业 / 不需要融资 / 500-2000人`“发展前景好，福利待遇好。”`JAVA
后端开发工程师`10k-20k`[北京·大屯]`经验1-3年 / 本科`酷我音乐`音频｜视频媒体 / 上市公司 / 500-2000人`“待遇好，团队nice，前景好”`JAVA
后端开发工程师`18k-26k`[杭州·拱墅区]`经验1-3年 / 本科`SSW China`移动互联网,企业服务 / 不需要融资 / 15-50人`“额外带薪假；澳洲交换工作；可雇主担保”`软件服务｜咨询
java后端开发工程师（远程居家办公）`15k-22k`[上海·洋泾]`经验3-5年 / 本科`威弘信息`软件服务｜咨询 / 不需要融资 / 15-50人`“远程居家办公”`消费生活
后端开发工程师(J10151)`15k-20k`[无锡·滨湖区]`经验3-5年 / 本科`之科云启`人工智能服务,IT技术服务｜咨询,数据服务｜咨询 / 不需要融资 / 50-150人`“项目前景好、团队素质高”`JAVA
python高级后端开发工程师`30k-40k`[北京·朝阳区]`经验5-10年 / 本科`Veeva System维我软件`软件服务｜咨询,IT技术服务｜咨询,医疗｜保健｜美容 / 上市公司 / 2000人以上`“学习费、健身费、六险一金、圣诞假期”`软件服务｜咨询
Node.js后端开发工程师`16k-32k`[海外·海外]`经验1-3年 / 本科`MicroWorld株式会社`专业服务｜咨询 / 不需要融资 / 50-150人`“90%在家办公，升职空间大”`软件服务｜咨询
后端开发工程师（国际）- 长沙 (MJ000471)`8k-12k`[长沙·伍家岭]`经验不限 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“发展前景广阔，团队实力强劲，公司氛围融洽！”`JAVA
高级后端开发工程师（隐私计算-隐语）-郑州 (MJ000599)`10k-20k`[郑州·管城回族区]`经验不限 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“技术氛围”`JAVA
后端开发工程师-飞书多维表格`20k-40k`[北京·海淀区]`经验3-5年 / 本科`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“六险一金,团队氛围好,扁平管理”`弹性工作
（资深）Java后端开发工程师-财务（商业化）-飞书企业应用（上海）`25k-50k`[上海·徐汇区]`经验不限 / 本科`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“下午茶,六险一金,扁平管理,免费三餐”`弹性工作
自动车配送部-前后端全栈工程师`30k-46k`[北京·望京]`经验不限 / 不限`美团`消费生活 / 上市公司 / 2000人以上`“参与自动驾驶落地，团队技术栈广深成长空间大”`TypeScript
后端开发工程师`20k-40k`[上海·光新]`经验3-5年 / 本科`祥埻`金融业,区块链 / 不需要融资 / 50-150人`“大牛带队，扁平化管理”`区块链
Go 后端工程师（Feed）`20k-35k`[深圳·南山区]`经验3-5年 / 本科`AfterShip`软件服务｜咨询 / B轮 / 150-500人`“扁平化管理；极客精神”`软件服务｜咨询
node.js后端开发工程师`25k-45k`[北京·中关村]`经验3-5年 / 本科`财未来（北京）信息技术有限公司`区块链 / C轮 / 15-50人`“国际化平台 拥抱开源 蓝海赛道”`区块链
后端开发工程师`23k-31k`[北京·西二旗]`经验3-5年 / 本科`贝壳`居住服务 / 上市公司 / 2000人以上`“-”`JAVA
高级java后端开发工程师`30k-60k`[深圳·福田区]`经验不限 / 本科`深圳市慧择软件集团有限公司`IT技术服务｜咨询 / 不需要融资 / 500-2000人`“技术壁垒高，福利待遇好”`科技金融
后端开发工程师`25k-35k`[上海·静安区]`经验5-10年 / 本科`合合信息`移动互联网 / D轮及以上 / 500-2000人`“技术大咖；团队业绩双位数增长”`JAVA
搜索推荐后端工程师（业务）`20k-40k`[深圳·福田区]`经验3-5年 / 本科`KLOOK 客路旅行`旅游｜出行 / D轮及以上 / 500-2000人`“国际化搜推需求；业务复杂度高；团队氛围好”`JAVA
后端工程师（JAVA）(J10906)`8k-13k`[武汉·东西湖区]`经验3-5年 / 本科`深圳奥哲网络科技有限公司`软件服务｜咨询 / B轮 / 500-2000人`“周末双休，五险一金”`互联网
java后端开发工程师(J12575)`25k-40k`[上海·浦东新区]`经验5-10年 / 本科`阅文集团`内容社区 / 上市公司 / 500-2000人`“福利佳”`内容社区
后端开发工程师-文档（武汉）`25k-45k`[武汉·东西湖区]`经验5-10年 / 本科`小红书`电商平台,内容社区 / D轮及以上 / 500-2000人`“带薪年假,扁平管理,团队实力”`年度旅游
后端工程师（内控技术平台方向）-郑州 (MJ000126)`10k-15k`[郑州·新郑市]`经验1-3年 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“蚂蚁技术平台”`JAVA
高级后端开发工程师（业务风险方向）-郑州 (mj000123)`15k-25k`[郑州·新郑市]`经验3-5年 / 本科`数字马力`工具类产品,软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人`“蚂蚁技术”`软件服务｜咨询
大数据后端工程师-抖音生活服务`25k-50k`[成都·武侯区]`经验不限 / 不限`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“下午茶,五险一金,团队氛围好,带薪休假”`后端开发
广告后端研发工程师（上海） — Pangle`25k-50k`[上海·闵行区]`经验不限 / 本科`字节跳动`内容资讯,短视频 / D轮及以上 / 2000人以上`“下午茶,健身瑜伽,六险一金,五险一金”`后端开发
